,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANALYSIS OF COMPRESSION MEMBERS,,,,,,,,,DESIGN OF COMPRESSION MEMBERS,,,,,,,,,,,,,,,,,,REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,rts,ho,Qw,,,PA,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,W18X60,W18X60,F,60.0,17.6,18.2,18  1/4 ,7.56,7  1/2 ,0.415,  7/16,  1/4 ,0.695, 11/16,1.10,1  3/8 , 13/16,5.44,38.7,984,123,108,7.47,50.1,20.6,13.3,1.68,2.17,3850,33.1,2.02,17.5,60.6,,,57.5,65.1,44.0,51.5,15  1/2 ,3  1/2 ,–,W460X89,W460X89,89.0,11400,462,464,192,190,10.5,11.1,6.35,17.7,17.5,27.9,34.9,20.6,5.44,38.7,410,2020,1770,190,20.9,338,218,42.7,903,1030,21400,18.1,356,993,51.3,444,1460,1650,1120,1310,394,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,W18X55,W18X55,F,55.0,16.2,18.1,18  1/8 ,7.53,7  1/2 ,0.390,  3/8 ,  3/16,0.630,  5/8 ,1.03,1  5/16, 13/16,5.98,41.1,890,112,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430,32.9,2.00,17.5,55.3,,,57.3,64.8,43.7,51.3,15  1/2 ,3  1/2 ,–,W460X82,W460X82,82.0,10500,460,460,191,190,9.91,9.52,4.76,16.0,15.9,26.2,33.3,20.6,5.98,41.1,370,1840,1610,188,18.7,303,195,42.4,691,921,21200,16.2,321,906,50.8,444,1460,1650,1110,1300,394,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,W18X50,W18X50,F,50.0,14.7,18.0,18      ,7.50,7  1/2 ,0.355,  3/8 ,  3/16,0.570,  9/16,0.972,1  1/4 , 13/16,6.57,45.2,800,101,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040,32.7,1.98,17.4,49.9,,,57.1,64.6,43.5,51.0,15  1/2 ,3  1/2 ,–,W460X74,W460X74,74.0,9480,457,457,191,190,9.02,9.52,4.76,14.5,14.3,24.7,31.8,20.6,6.57,45.2,333,1660,1460,187,16.7,272,175,41.9,516,816,21100,14.5,290,818,50.3,442,1450,1640,1100,1300,394,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,W18X46,W18X46,F,46.0,13.5,18.1,18      ,6.06,6      ,0.360,  3/8 ,  3/16,0.605,  5/8 ,1.01,1  1/4 , 13/16,5.01,44.6,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720,26.5,1.58,17.5,44.9,,,52.9,59.0,42.3,48.3,15  1/2 ,3  1/2 ,–,W460X68,W460X68,68.0,8710,460,457,154,152,9.14,9.52,4.76,15.4,15.9,25.7,31.8,20.6,5.01,44.6,296,1490,1290,184,9.37,192,122,32.8,508,462,17100,10.1,247,736,40.1,444,1340,1500,1070,1230,394,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,W18X40,W18X40,F,40.0,11.8,17.9,17  7/8 ,6.02,6      ,0.315,  5/16,  3/16,0.525,  1/2 ,0.927,1  3/16, 13/16,5.73,50.9,612,78.4,68.4,7.21,19.1,10.0,6.35,1.27,0.810,1440,26.1,1.56,17.4,38.6,,,52.6,58.6,41.8,47.8,15  1/2 ,3  1/2 ,–,W460X60,W460X60,60.0,7610,455,454,153,152,8.00,7.94,4.76,13.3,12.7,23.5,30.2,20.6,5.73,50.9,255,1280,1120,183,7.95,164,104,32.3,337,387,16800,8.62,213,633,39.6,442,1340,1490,1060,1210,394,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,W18X35,W18X35,F,35.0,10.3,17.7,17  3/4 ,6.00,6      ,0.300,  5/16,  3/16,0.425,  7/16,0.827,1  1/8 ,  3/4 ,7.06,53.5,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140,25.9,1.51,17.3,32.7,,,52.1,58.1,41.4,47.4,15  1/2 ,3  1/2 ,–,W460X52,W460X52,52.0,6650,450,451,152,152,7.62,7.94,4.76,10.8,11.1,21.0,28.6,19.1,7.06,53.5,212,1090,944,179,6.37,132,83.9,31.0,211,306,16700,6.87,172,536,38.4,439,1320,1480,1050,1200,394,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,W16X100,W16X100,F,100,29.4,17.0,17      ,10.4,10  3/8 ,0.585,  9/16,  5/16,0.985,1      ,1.39,1  7/8 ,1  1/8 ,5.29,24.3,1490,198,175,7.10,186,54.9,35.7,2.51,7.73,11900,41.6,2.92,16.0,98.5,,,63.3,73.7,44.4,54.8,13  1/4 ,5  1/2 ,–,W410X149,W410X149,149,19000,432,432,264,264,14.9,14.3,7.94,25.0,25.4,35.3,47.6,28.6,5.29,24.3,620,3240,2870,180,77.4,900,585,63.8,3220,3200,26800,44.5,634,1610,74.2,406,1610,1870,1130,1390,337,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,W16X89,W16X89,F,89.0,26.2,16.8,16  3/4 ,10.4,10  3/8 ,0.525,  1/2 ,  1/4 ,0.875,  7/8 ,1.28,1  3/4 ,1  1/16,5.92,27.0,1300,175,155,7.05,163,48.1,31.4,2.49,5.45,10200,41.4,2.88,15.9,87.3,,,63.1,73.5,44.0,54.4,13  1/4 ,5  1/2 ,–,W410X132,W410X132,132,16900,427,425,264,264,13.3,12.7,6.35,22.2,22.2,32.5,44.5,27.0,5.92,27.0,541,2870,2540,179,67.8,788,515,63.2,2270,2740,26700,39.2,564,1430,73.2,404,1600,1870,1120,1380,337,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,W16X77,W16X77,F,77.0,22.6,16.5,16  1/2 ,10.3,10  1/4 ,0.455,  7/16,  1/4 ,0.760,  3/4 ,1.16,1  5/8 ,1  1/16,6.77,31.2,1110,150,134,7.00,138,41.1,26.9,2.47,3.57,8590,40.5,2.85,15.7,74.4,,,62.3,72.6,43.3,53.6,13  1/4 ,5  1/2 ,–,W410X114,W410X114,114,14600,419,419,262,260,11.6,11.1,6.35,19.3,19.0,29.5,41.3,27.0,6.77,31.2,462,2460,2200,178,57.4,674,441,62.7,1490,2310,26100,33.0,482,1220,72.4,399,1580,1840,1100,1360,337,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,W16X67,W16X67,F,67.0,19.6,16.3,16  3/8 ,10.2,10  1/4 ,0.395,  3/8 ,  3/16,0.665, 11/16,1.07,1  9/16,1      ,7.70,35.9,954,130,117,6.96,119,35.5,23.2,2.46,2.39,7300,39.9,2.82,15.6,64.1,,,61.7,71.9,42.8,53.0,13  1/4 ,5  1/2 ,–,W410X100,W410X100,100,12600,414,416,259,260,10.0,9.52,4.76,16.9,17.5,27.2,39.7,25.4,7.70,35.9,397,2130,1920,177,49.5,582,380,62.5,995,1960,25700,28.1,418,1050,71.6,396,1570,1830,1090,1350,337,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,W16X57,W16X57,F,57.0,16.8,16.4,16  3/8 ,7.12,7  1/8 ,0.430,  7/16,  1/4 ,0.715, 11/16,1.12,1  3/8 ,  7/8 ,4.98,33.0,758,105,92.2,6.72,43.1,18.9,12.1,1.60,2.22,2660,27.9,1.92,15.7,52.0,,,52.6,59.7,39.9,47.0,13  5/8 ,3  1/2 ,–,W410X85,W410X85,85.0,10800,417,416,181,181,10.9,11.1,6.35,18.2,17.5,28.4,34.9,22.2,4.98,33.0,316,1720,1510,171,17.9,310,198,40.6,924,714,18000,14.8,308,852,48.8,399,1340,1520,1010,1190,346,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,W16X50,W16X50,F,50.0,14.7,16.3,16  1/4 ,7.07,7  1/8 ,0.380,  3/8 ,  3/16,0.630,  5/8 ,1.03,1  5/16, 13/16,5.61,37.4,659,92.0,81.0,6.68,37.2,16.3,10.5,1.59,1.52,2270,27.7,1.89,15.7,45.6,,,52.3,59.4,39.7,46.7,13  5/8 ,3  1/2 ,–,W410X75,W410X75,75.0,9480,414,413,180,181,9.65,9.52,4.76,16.0,15.9,26.2,33.3,20.6,5.61,37.4,274,1510,1330,170,15.5,267,172,40.4,633,610,17900,12.8,270,747,48.0,399,1330,1510,1010,1190,346,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,W16X45,W16X45,F,45.0,13.3,16.1,16  1/8 ,7.04,7      ,0.345,  3/8 ,  3/16,0.565,  9/16,0.967,1  1/4 , 13/16,6.23,41.1,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990,27.3,1.87,15.5,40.6,,,52.0,59.0,39.2,46.3,13  5/8 ,3  1/2 ,–,W410X67,W410X67,67.0,8580,409,410,179,178,8.76,9.52,4.76,14.4,14.3,24.6,31.8,20.6,6.23,41.1,244,1350,1190,169,13.7,238,153,39.9,462,534,17600,11.3,241,665,47.5,394,1320,1500,996,1180,346,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,W16X40,W16X40,F,40.0,11.8,16.0,16      ,7.00,7      ,0.305,  5/16,  3/16,0.505,  1/2 ,0.907,1  3/16, 13/16,6.93,46.5,518,73.0,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730,27.1,1.86,15.5,36.0,,,51.7,58.7,39.0,46.0,13  5/8 ,3  1/2 ,–,W410X60,W410X60,60.0,7610,406,406,178,178,7.75,7.94,4.76,12.8,12.7,23.0,30.2,20.6,6.93,46.5,216,1200,1060,168,12.0,208,135,39.9,330,465,17500,9.99,215,590,47.2,394,1310,1490,991,1170,346,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,W16X36,W16X36,F,36.0,10.6,15.9,15  7/8 ,6.99,7      ,0.295,  5/16,  3/16,0.430,  7/16,0.832,1  1/8 ,  3/4 ,8.12,48.1,448,64.0,56.5,6.51,24.5,10.8,7.00,1.52,0.545,1460,27.0,1.83,15.5,31.6,,,51.5,58.5,38.8,45.8,13  5/8 ,3  1/2 ,–,W410X53,W410X53,53.0,6840,404,403,178,178,7.49,7.94,4.76,10.9,11.1,21.1,28.6,19.1,8.12,48.1,186,1050,926,165,10.2,177,115,38.6,227,392,17400,8.45,182,518,46.5,394,1310,1490,986,1160,346,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,W16X31,W16X31,F,31.0,9.13,15.9,15  7/8 ,5.53,5  1/2 ,0.275,  1/4 ,  1/8 ,0.440,  7/16,0.842,1  1/8 ,  3/4 ,6.28,51.6,375,54.0,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739,21.4,1.42,15.5,26.6,,,47.2,52.7,37.3,42.9,13  5/8 ,3  1/2 ,–,W410X46.1,W410X46.1,46.1,5890,404,403,140,140,6.99,6.35,3.18,11.2,11.1,21.4,28.6,19.1,6.28,51.6,156,885,773,163,5.16,115,73.6,29.7,192,198,13800,5.41,147,436,36.1,394,1200,1340,947,1090,346,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,W16X26,W16X26,F,26.0,7.68,15.7,15  3/4 ,5.50,5  1/2 ,0.250,  1/4 ,  1/8 ,0.345,  3/8 ,0.747,1  1/16,  3/4 ,7.97,56.8,301,44.2,38.4,6.26,9.6,5.48,3.49,1.12,0.262,565,21.1,1.38,15.4,21.6,,,46.7,52.2,36.9,42.4,13  5/8 ,3  1/2 ,–,W410X38.8,W410X38.8,38.8,4950,399,400,140,140,6.35,6.35,3.18,8.76,9.52,19.0,27.0,19.1,7.97,56.8,125,724,629,159,3.99,89.8,57.2,28.4,109,152,13600,4.16,114,354,35.1,391,1190,1330,937,1080,346,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,W14X873,W14X873,T,873,257,23.6,23  5/8 ,18.8,18  3/4 ,3.94,3 15/16,2      ,5.51,5  1/2 ,6.10,6  3/16,2  9/16,1.71,2.89,18100,2030,1530,8.39,6170,1020,656,4.90,2270,505000,85.0,6.04,18.1,1010,,,95.2,114,66.0,84.8,11  1/4 ,8  1/2 ,3    ,W360X1299,W360X1299,1300,166000,599,600,478,476,100,100,50.8,140,140,155,157,65.1,1.71,2.89,7530,33300,25100,213,2570,16700,10800,124,945000,136000,54800,916,6060,16600,153,460,2420,2900,1680,2150,286,216,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,W14X808,W14X808,T,808,238,22.8,22  3/4 ,18.6,18  5/8 ,3.74,3  3/4 ,1  7/8 ,5.12,5  1/8 ,5.71,5  3/4 ,2  1/2 ,1.82,3.04,15900,1830,1390,8.17,5550,930,597,4.83,1840,434000,82.2,5.94,17.7,916,,,93.4,112,64.2,82.8,11  1/4 ,8  1/2 ,3    ,W360X1202,W360X1202,1200,154000,579,578,472,473,95.0,95.3,47.6,130,130,145,146,63.5,1.82,3.04,6620,30000,22800,208,2310,15200,9780,123,766000,117000,53000,816,5510,15000,151,450,2370,2840,1630,2100,286,216,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,W14X730,W14X730,T,730,215,22.4,22  3/8 ,17.9,17  7/8 ,3.07,3  1/16,1  9/16,4.91,4 15/16,5.51,6  3/16,2  3/4 ,1.82,3.71,14300,1660,1280,8.17,4720,816,527,4.69,1450,362000,78.3,5.68,17.5,829,,,91.1,109,62.7,80.6,10      ,7  1/2 ,3    ,W360X1086,W360X1086,1090,139000,569,568,455,454,78.0,77.8,39.7,125,125,140,157,69.9,1.82,3.71,5950,27200,21000,208,1960,13400,8640,119,604000,97200,50500,716,5210,13600,144,444,2310,2770,1590,2050,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,W14X665,W14X665,T,665,196,21.6,21  5/8 ,17.7,17  5/8 ,2.83,2 13/16,1  7/16,4.52,4  1/2 ,5.12,5 13/16,2  5/8 ,1.95,4.03,12400,1480,1150,7.98,4170,730,472,4.62,1120,305000,75.6,5.57,17.1,739,,,89.3,107,60.9,78.6,10      ,7  1/2 ,3    ,W360X990,W360X990,990,126000,549,549,450,448,71.9,71.4,36.5,115,114,130,148,66.7,1.95,4.03,5160,24300,18800,203,1740,12000,7730,117,466000,81900,48800,629,4700,12100,141,434,2270,2720,1550,2000,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,W14X605,W14X605,T,605,178,20.9,20  7/8 ,17.4,17  3/8 ,2.60,2  5/8 ,1  5/16,4.16,4  3/16,4.76,5  7/16,2  1/2 ,2.09,4.39,10800,1320,1040,7.80,3680,652,423,4.55,869,258000,72.8,5.44,16.7,657,,,87.6,105,59.2,76.6,10      ,7  1/2 ,3    ,W360X900,W360X900,900,115000,531,530,442,441,66.0,66.7,33.3,106,106,121,138,63.5,2.09,4.39,4500,21600,17000,198,1530,10700,6930,116,362000,69300,47000,549,4230,10800,138,424,2230,2670,1500,1950,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,W14X550,W14X550,T,550,162,20.2,20  1/4 ,17.2,17  1/4 ,2.38,2  3/8 ,1  3/16,3.82,3 13/16,4.42,5  1/8 ,2  3/8 ,2.25,4.79,9430,1180,931,7.63,3250,583,378,4.49,669,219000,70.4,5.35,16.4,585,,,85.8,103,57.6,74.8,10      ,7  1/2 ,3    ,W360X818,W360X818,818,105000,513,514,437,438,60.5,60.3,30.2,97.0,96.8,112,130,60.3,2.25,4.79,3930,19300,15300,194,1350,9550,6190,114,278000,58800,45400,483,3800,9590,136,417,2180,2620,1460,1900,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,W14X500,W14X500,T,500,147,19.6,19  5/8 ,17.0,17      ,2.19,2  3/16,1  1/8 ,3.50,3  1/2 ,4.10,4 13/16,2  5/16,2.43,5.21,8210,1050,838,7.48,2880,522,339,4.43,514,187000,68.4,5.26,16.1,522,,,85.0,102,56.2,73.2,10      ,7  1/2 ,3    ,W360X744,W360X744,744,94800,498,498,432,432,55.6,55.6,28.6,88.9,88.9,104,122,58.7,2.43,5.21,3420,17200,13700,190,1200,8550,5560,113,214000,50200,44100,425,3420,8550,134,409,2160,2590,1430,1860,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,W14X455,W14X455,T,455,134,19.0,19      ,16.8,16  7/8 ,2.02,2      ,1      ,3.21,3  3/16,3.81,4  1/2 ,2  1/4 ,2.62,5.66,7190,936,756,7.33,2560,468,304,4.38,395,160000,66.3,5.17,15.8,466,,,83.2,100,54.8,71.6,10      ,7  1/2 ,3    ,W360X677,W360X677,677,86500,483,483,427,429,51.3,50.8,25.4,81.5,81.0,96.8,114,57.2,2.62,5.66,2990,15300,12400,186,1070,7670,4980,111,164000,43000,42800,372,3060,7640,131,401,2110,2540,1390,1820,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,W14X426,W14X426,T,426,125,18.7,18  5/8 ,16.7,16  3/4 ,1.88,1  7/8 , 15/16,3.04,3  1/16,3.63,4  5/16,2  1/8 ,2.75,6.08,6600,869,706,7.26,2360,434,283,4.34,331,144000,65.4,5.11,15.7,435,,,82.7,99.4,54.1,70.8,10      ,7  1/2 ,3    ,W360X634,W360X634,634,80600,475,473,424,425,47.8,47.6,23.8,77.2,77.8,92.2,110,54.0,2.75,6.08,2750,14200,11600,184,982,7110,4640,110,138000,38700,42200,345,2880,7130,130,399,2100,2520,1370,1800,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,W14X398,W14X398,T,398,117,18.3,18  1/4 ,16.6,16  5/8 ,1.77,1  3/4 ,  7/8 ,2.85,2  7/8 ,3.44,4  1/8 ,2  1/8 ,2.92,6.44,6000,801,656,7.16,2170,402,262,4.31,273,129000,64.1,5.05,15.5,401,,,81.8,98.4,53.2,69.8,10      ,7  1/2 ,3    ,W360X592,W360X592,592,75500,465,464,422,422,45.0,44.4,22.2,72.4,73.0,87.4,105,54.0,2.92,6.44,2500,13100,10700,182,903,6590,4290,109,114000,34600,41400,316,2670,6570,128,394,2080,2500,1350,1770,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,W14X370,W14X370,T,370,109,17.9,17  7/8 ,16.5,16  1/2 ,1.66,1 11/16, 13/16,2.66,2 11/16,3.26,3 15/16,2  1/16,3.10,6.89,5440,736,607,7.07,1990,370,241,4.27,222,116000,62.9,5.00,15.2,367,,,81.0,97.5,52.3,68.8,10      ,7  1/2 ,3    ,W360X551,W360X551,551,70300,455,454,419,419,42.2,42.9,20.6,67.6,68.3,82.8,100,52.4,3.10,6.89,2260,12100,9950,180,828,6060,3950,108,92400,31200,40600,287,2460,6010,127,386,2060,2480,1330,1750,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,W14X342,W14X342,T,342,101,17.5,17  1/2 ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.47,2  1/2 ,3.07,3  3/4 ,2      ,3.31,7.41,4900,672,558,6.98,1810,338,221,4.24,178,103000,61.6,4.95,15.0,335,,,80.1,96.5,51.4,67.8,10      ,7  1/2 ,3    ,W360X509,W360X509,509,65200,445,444,417,416,39.1,39.7,20.6,62.7,63.5,78.0,95.3,50.8,3.31,7.41,2040,11000,9140,177,753,5540,3620,108,74100,27700,39700,260,2260,5490,126,381,2030,2450,1310,1720,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,W14X311,W14X311,T,311,91.4,17.1,17  1/8 ,16.2,16  1/4 ,1.41,1  7/16,  3/4 ,2.26,2  1/4 ,2.86,3  9/16,1 15/16,3.59,8.09,4330,603,506,6.88,1610,304,199,4.20,136,89100,60.1,4.87,14.8,300,,,79.0,95.2,50.4,66.6,10      ,7  1/2 ,3    ,W360X463,W360X463,463,59000,434,435,411,413,35.8,36.5,19.0,57.4,57.2,72.6,90.5,49.2,3.59,8.09,1800,9880,8290,175,670,4980,3260,107,56600,23900,38800,229,2030,4920,124,376,2010,2420,1280,1690,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,W14X283,W14X283,T,283,83.3,16.7,16  3/4 ,16.1,16  1/8 ,1.29,1  5/16, 11/16,2.07,2  1/16,2.67,3  3/8 ,1  7/8 ,3.89,8.84,3840,542,459,6.79,1440,274,179,4.17,104,77700,58.9,4.80,14.6,269,,,78.1,94.2,49.5,65.6,10      ,7  1/2 ,3    ,W360X421,W360X421,421,53700,424,425,409,410,32.8,33.3,17.5,52.6,52.4,67.8,85.7,47.6,3.89,8.84,1600,8880,7520,172,599,4490,2930,106,43300,20900,38000,204,1840,4410,122,371,1980,2390,1260,1670,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,W14X257,W14X257,F,257,75.6,16.4,16  3/8 ,16.0,16      ,1.18,1  3/16,  5/8 ,1.89,1  7/8 ,2.49,3  3/16,1 13/16,4.23,9.71,3400,487,415,6.71,1290,246,161,4.13,79.1,67800,58.0,4.75,14.5,243,,,77.4,93.4,48.8,64.8,10      ,7  1/2 ,3    ,W360X382,W360X382,382,48800,417,416,406,406,30.0,30.2,15.9,48.0,47.6,63.2,81.0,46.0,4.23,9.71,1420,7980,6800,170,537,4030,2640,105,32900,18200,37400,183,1670,3980,121,368,1970,2370,1240,1650,254,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
